0.0,0.09,8.86,0.0,1.0,1743.0,2.0
1.0,0.06,15.46,0.0,1.0,157.0,38.0
2.0,0.61,25.47,0.0,7.0,226.0,53.0
2.0,0.81,42.33,18.0,4.0,753.0,38.0
1.0,0.14,45.05,0.0,7.0,2942.0,23.0
2.0,0.05,31.45,13.0,9.0,2947.0,2.0
2.0,0.82,17.62,9.0,2.0,3672.0,18.0
1.0,0.81,29.03,0.0,1.0,141.0,2.0
0.0,0.76,46.05,0.0,1.0,1244.0,53.0
1.0,0.92,11.19,0.0,1.0,755.0,2.0
3.0,0.99,44.23,13.0,9.0,23.0,21.0
3.0,0.16,8.42,15.0,4.0,752.0,40.0
2.0,0.33,33.54,13.0,9.0,44.0,5.0
2.0,0.95,44.05,13.0,9.0,137.0,2.0
2.0,0.17,33.19,15.0,4.0,1117.0,40.0
1.0,0.14,17.85,13.0,9.0,95.0,48.0
2.0,0.37,17.3,0.0,1.0,85.0,18.0
1.0,0.41,24.66,0.0,1.0,101.0,3.0
1.0,0.52,6.25,0.0,1.0,389.0,26.0
1.0,0.91,24.31,0.0,7.0,599.0,53.0
0.0,0.69,42.55,0.0,1.0,89.0,12.0
0.0,0.04,5.4,0.0,7.0,1847.0,2.0
1.0,0.03,8.12,0.0,1.0,88.0,38.0
0.0,0.18,26.67,0.0,1.0,214.0,48.0
0.0,0.04,13.85,0.0,1.0,94.0,49.0
1.0,0.08,29.65,0.0,7.0,1482.0,2.0
2.0,0.2,32.09,13.0,9.0,207.0,53.0
2.0,0.15,31.43,0.0,7.0,577.0,2.0
1.0,0.63,22.83,0.0,1.0,414.0,16.0
1.0,0.9,24.96,7.0,1.0,177.0,7.0
2.0,0.81,43.14,13.0,9.0,58.0,2.0
0.0,0.36,15.45,0.0,1.0,235.0,29.0
0.0,0.49,7.78,13.0,9.0,540.0,18.0
2.0,0.27,12.54,13.0,9.0,51.0,2.0
3.0,0.97,46.19,0.0,3.0,815.0,15.0
2.0,0.53,20.28,9.0,5.0,103.0,22.0
1.0,0.4,47.42,0.0,7.0,2578.0,53.0
1.0,0.04,45.23,0.0,7.0,1117.0,9.0
0.0,0.77,27.39,0.0,7.0,4776.0,18.0
0.0,0.19,26.1,13.0,9.0,118.0,7.0
1.0,0.5,12.22,0.0,7.0,1921.0,9.0
0.0,0.9,48.26,0.0,1.0,783.0,16.0
1.0,0.3,31.37,7.0,1.0,125.0,12.0
0.0,0.91,27.96,0.0,1.0,438.0,12.0
0.0,1.0,27.77,0.0,1.0,92.0,50.0
1.0,0.53,22.5,7.0,1.0,75.0,48.0
0.0,0.49,18.86,13.0,9.0,1489.0,53.0
2.0,0.48,12.48,2.0,4.0,750.0,2.0
0.0,0.73,9.2,0.0,7.0,1850.0,53.0
0.0,0.21,47.6,0.0,7.0,386.0,53.0
2.0,0.91,41.92,13.0,9.0,390.0,2.0
0.0,0.69,41.93,0.0,7.0,1118.0,2.0
0.0,0.06,33.95,7.0,1.0,506.0,38.0
1.0,0.37,26.27,0.0,1.0,115.0,18.0
1.0,0.47,7.59,0.0,7.0,387.0,38.0
1.0,0.88,44.54,0.0,1.0,106.0,18.0
1.0,0.09,29.71,0.0,7.0,764.0,2.0
1.0,0.87,20.66,0.0,1.0,785.0,48.0
1.0,0.66,23.94,7.0,1.0,140.0,38.0
1.0,0.64,41.35,0.0,7.0,1482.0,53.0
2.0,0.51,13.5,13.0,9.0,1851.0,52.0
2.0,0.29,6.67,13.0,9.0,781.0,41.0
0.0,0.04,9.82,0.0,7.0,4415.0,2.0
2.0,0.16,8.04,7.0,1.0,76.0,5.0
2.0,0.61,39.88,0.0,1.0,89.0,18.0
2.0,0.66,18.9,18.0,4.0,3309.0,15.0
0.0,0.15,36.78,0.0,1.0,134.0,38.0
1.0,0.19,25.17,0.0,1.0,395.0,2.0
3.0,0.73,29.2,0.0,4.0,92.0,2.0
2.0,0.49,5.36,13.0,9.0,222.0,53.0
1.0,0.33,17.73,0.0,1.0,118.0,7.0
1.0,0.73,35.55,0.0,1.0,1865.0,2.0
3.0,0.87,16.35,13.0,9.0,48.0,38.0
1.0,0.63,30.38,0.0,7.0,2379.0,48.0
2.0,0.09,31.36,18.0,4.0,149.0,18.0
1.0,0.24,12.49,13.0,9.0,224.0,38.0
0.0,0.0,17.1,0.0,1.0,448.0,2.0
2.0,0.9,35.86,13.0,9.0,28.0,53.0
1.0,0.06,43.61,7.0,1.0,666.0,40.0
0.0,0.42,19.77,0.0,1.0,401.0,48.0
1.0,0.12,25.23,0.0,1.0,451.0,27.0
0.0,0.33,32.86,0.0,1.0,110.0,50.0
2.0,0.26,31.88,16.0,9.0,752.0,50.0
2.0,0.96,45.54,0.0,1.0,100.0,21.0
0.0,0.62,47.82,0.0,1.0,1156.0,20.0
1.0,0.9,35.33,0.0,7.0,1248.0,53.0
2.0,0.1,33.83,17.0,9.0,118.0,18.0
1.0,0.85,34.59,0.0,1.0,186.0,18.0
1.0,0.56,15.28,13.0,9.0,1855.0,7.0
1.0,0.47,30.8,0.0,7.0,807.0,2.0
1.0,0.08,8.46,17.0,9.0,117.0,2.0
0.0,0.45,35.76,0.0,7.0,393.0,54.0
0.0,0.54,15.61,7.0,1.0,116.0,2.0
0.0,0.06,41.49,13.0,9.0,345.0,53.0
1.0,0.15,28.19,0.0,7.0,499.0,53.0
1.0,0.87,25.13,7.0,1.0,94.0,2.0
1.0,0.63,46.43,0.0,1.0,1490.0,2.0
2.0,0.81,12.33,13.0,9.0,176.0,2.0
1.0,0.28,46.19,7.0,1.0,107.0,26.0
1.0,0.95,35.16,0.0,1.0,100.0,26.0
0.0,0.6,34.45,0.0,1.0,132.0,26.0
0.0,0.53,9.0,0.0,7.0,180.0,53.0
1.0,0.53,47.79,0.0,1.0,116.0,48.0
0.0,0.62,41.68,13.0,9.0,460.0,16.0
1.0,0.96,32.02,0.0,1.0,391.0,53.0
2.0,0.69,29.85,13.0,9.0,53.0,15.0
1.0,0.31,12.21,0.0,1.0,1304.0,29.0
1.0,0.83,17.07,0.0,1.0,397.0,48.0
1.0,0.3,49.38,0.0,1.0,461.0,54.0
1.0,0.07,36.77,0.0,7.0,971.0,53.0
0.0,0.78,40.17,13.0,9.0,399.0,2.0
1.0,0.41,38.73,0.0,1.0,2067.0,36.0
0.0,0.61,37.27,0.0,7.0,2210.0,2.0
0.0,0.29,31.53,0.0,1.0,1507.0,2.0
1.0,0.79,33.12,0.0,1.0,82.0,30.0
2.0,0.96,30.64,13.0,9.0,73.0,2.0
0.0,0.86,22.95,0.0,1.0,263.0,16.0
1.0,0.41,22.76,0.0,1.0,176.0,12.0
1.0,0.65,29.95,0.0,1.0,1222.0,7.0
0.0,0.55,35.53,0.0,1.0,4420.0,2.0
1.0,0.97,27.9,0.0,1.0,4045.0,38.0
2.0,0.85,32.17,18.0,4.0,72.0,2.0
0.0,0.0,20.55,0.0,1.0,134.0,15.0
1.0,0.56,43.07,7.0,1.0,89.0,2.0
1.0,0.93,13.47,0.0,7.0,3625.0,48.0
1.0,0.73,44.25,13.0,9.0,579.0,2.0
1.0,0.05,39.86,0.0,1.0,609.0,48.0
1.0,0.71,28.59,0.0,7.0,2341.0,2.0
1.0,0.2,41.9,0.0,1.0,2974.0,2.0
0.0,0.08,49.17,0.0,1.0,99.0,18.0
1.0,0.21,38.8,0.0,7.0,4090.0,20.0
2.0,0.15,39.21,0.0,7.0,570.0,2.0
2.0,0.89,29.68,0.0,7.0,396.0,2.0
0.0,0.74,27.37,7.0,1.0,89.0,49.0
1.0,0.64,8.23,0.0,1.0,391.0,48.0
3.0,0.95,17.16,13.0,9.0,28.0,49.0
1.0,0.04,14.75,0.0,1.0,722.0,7.0
0.0,0.49,37.41,7.0,1.0,3837.0,48.0
2.0,0.91,5.19,13.0,9.0,1120.0,20.0
1.0,0.75,18.48,13.0,9.0,817.0,54.0
1.0,0.06,33.8,0.0,7.0,4404.0,23.0
2.0,0.31,19.13,16.0,9.0,1118.0,48.0
2.0,0.84,38.64,16.0,9.0,387.0,18.0
0.0,0.85,23.15,0.0,1.0,1715.0,2.0
0.0,0.38,36.04,0.0,1.0,428.0,18.0
2.0,0.47,18.49,13.0,9.0,26.0,2.0
2.0,0.42,28.31,13.0,9.0,141.0,38.0
0.0,0.46,31.9,0.0,7.0,753.0,48.0
0.0,0.33,38.9,0.0,1.0,1214.0,2.0
2.0,0.79,29.49,16.0,9.0,541.0,18.0
0.0,0.04,16.33,0.0,1.0,1852.0,53.0
2.0,0.73,40.05,0.0,7.0,1117.0,2.0
0.0,0.3,34.08,0.0,1.0,137.0,2.0
0.0,0.12,5.69,0.0,1.0,86.0,7.0
0.0,0.28,34.77,13.0,9.0,2948.0,40.0
0.0,0.22,16.2,0.0,1.0,101.0,40.0
1.0,0.02,28.51,0.0,1.0,109.0,2.0
1.0,0.97,30.57,0.0,1.0,83.0,48.0
0.0,0.35,48.44,0.0,1.0,2950.0,40.0
1.0,0.65,13.1,0.0,7.0,2156.0,15.0
1.0,0.15,20.29,0.0,1.0,86.0,23.0
1.0,0.22,8.16,0.0,1.0,392.0,48.0
3.0,0.57,9.16,15.0,4.0,386.0,2.0
1.0,0.27,16.82,7.0,1.0,88.0,38.0
2.0,0.95,21.23,8.0,2.0,97.0,53.0
2.0,0.62,22.14,18.0,4.0,387.0,7.0
2.0,0.93,37.85,13.0,9.0,274.0,7.0
1.0,0.09,37.6,0.0,1.0,757.0,53.0
1.0,0.72,35.28,0.0,7.0,2580.0,7.0
1.0,0.4,13.05,0.0,1.0,210.0,2.0
1.0,0.79,36.15,0.0,1.0,419.0,15.0
1.0,0.68,26.79,17.0,9.0,389.0,12.0
1.0,0.91,37.99,0.0,1.0,99.0,18.0
0.0,0.95,13.15,0.0,1.0,108.0,2.0
1.0,0.54,33.18,13.0,9.0,431.0,2.0
1.0,0.49,41.77,0.0,1.0,797.0,2.0
2.0,0.91,15.6,0.0,1.0,391.0,2.0
0.0,0.82,14.53,0.0,1.0,752.0,48.0
0.0,0.97,41.2,0.0,1.0,393.0,52.0
2.0,0.81,47.93,0.0,7.0,204.0,53.0
1.0,0.98,5.85,15.0,4.0,394.0,2.0
2.0,0.54,23.05,0.0,7.0,324.0,48.0
1.0,0.39,15.24,0.0,7.0,754.0,16.0
1.0,0.94,44.35,0.0,1.0,367.0,40.0
2.0,0.25,21.07,13.0,9.0,37.0,38.0
1.0,1.0,13.71,0.0,7.0,396.0,52.0
2.0,0.71,6.15,13.0,9.0,28.0,15.0
0.0,0.35,35.55,0.0,7.0,2670.0,2.0
0.0,0.85,35.69,0.0,7.0,3623.0,53.0
1.0,0.63,38.25,0.0,7.0,3277.0,15.0
2.0,0.8,46.29,0.0,7.0,508.0,2.0
0.0,0.03,37.02,0.0,7.0,1116.0,48.0
1.0,0.83,44.53,0.0,1.0,403.0,15.0
1.0,0.84,19.5,7.0,1.0,2659.0,7.0
0.0,0.65,15.99,0.0,7.0,2212.0,2.0
1.0,0.89,35.14,0.0,7.0,584.0,53.0
2.0,0.05,21.98,0.0,7.0,128.0,2.0
2.0,0.39,32.65,13.0,9.0,61.0,7.0
0.0,0.28,5.09,7.0,1.0,101.0,2.0
1.0,0.41,38.42,0.0,1.0,395.0,2.0
2.0,0.12,37.88,0.0,7.0,3124.0,48.0
0.0,0.7,31.92,7.0,1.0,118.0,53.0
3.0,0.26,43.1,15.0,4.0,203.0,15.0
0.0,0.19,15.11,13.0,9.0,209.0,18.0
0.0,0.5,45.4,0.0,1.0,182.0,38.0
2.0,0.69,5.53,13.0,9.0,28.0,18.0
1.0,0.22,6.39,0.0,1.0,112.0,2.0
1.0,0.95,45.64,7.0,1.0,89.0,38.0
2.0,0.52,15.43,13.0,9.0,43.0,21.0
2.0,0.28,38.79,3.0,9.0,1121.0,48.0
1.0,0.12,41.66,0.0,7.0,751.0,16.0
3.0,0.84,7.1,0.0,4.0,23.0,15.0
2.0,0.02,33.9,1.0,4.0,398.0,2.0
1.0,0.25,9.78,0.0,1.0,275.0,53.0
0.0,0.52,14.79,0.0,7.0,620.0,16.0
0.0,0.45,20.93,13.0,9.0,133.0,18.0
3.0,0.38,45.09,9.0,2.0,388.0,15.0
1.0,0.98,47.48,0.0,1.0,2580.0,2.0
2.0,0.62,9.0,13.0,9.0,40.0,53.0
2.0,0.22,39.65,0.0,7.0,89.0,53.0
0.0,0.13,8.89,0.0,1.0,636.0,16.0
1.0,0.73,39.78,0.0,1.0,753.0,48.0
1.0,0.63,45.6,0.0,1.0,1129.0,27.0
1.0,0.05,6.85,0.0,7.0,757.0,2.0
1.0,0.52,24.33,0.0,7.0,763.0,53.0
